instance_token,x_rel,y_rel,rot_x,rot_y,timestamp,category_id
18b35f704a7d45199d08cbce4ca63d86,49.39045326895281,13.163715762792245,0.8877319432515621,0.0,1695473372698161,0
18b35f704a7d45199d08cbce4ca63d86,48.183531101838504,13.368824015448673,0.9303052977218329,-1.734723475976807e-18,1695473373198647,0
18b35f704a7d45199d08cbce4ca63d86,46.737701317187145,13.713105069635722,0.9374844099072331,-4.336808689942018e-19,1695473373698280,0
18b35f704a7d45199d08cbce4ca63d86,45.296340705856466,14.178080264817735,0.9152855795471568,0.0,1695473374197968,0
18b35f704a7d45199d08cbce4ca63d86,43.59772655542954,14.384470916687661,0.9336385210502274,-1.734723475976807e-18,1695473374698243,0
18b35f704a7d45199d08cbce4ca63d86,41.760145023186965,14.185644526624374,0.9127070809145674,-2.168404344971009e-19,1695473375198374,0
18b35f704a7d45199d08cbce4ca63d86,40.618871654755,13.240445228888486,0.9289333088286126,1.3010426069826053e-18,1695473375698147,0
18b35f704a7d45199d08cbce4ca63d86,39.34709847943605,11.789895406152526,0.9334928288797075,-4.336808689942018e-19,1695473376197966,0
18b35f704a7d45199d08cbce4ca63d86,38.29062203456039,9.114407748287748,0.9419507427686337,0.0,1695473376698026,0
18b35f704a7d45199d08cbce4ca63d86,37.24198444198593,5.195137535663762,0.961259816157153,4.336808689942018e-19,1695473377198440,0
18b35f704a7d45199d08cbce4ca63d86,35.90672446884186,1.0711179225827863,0.9354686499083326,1.734723475976807e-18,1695473377699013,0
18b35f704a7d45199d08cbce4ca63d86,34.2449963598424,-3.2150765016384497,0.961357196217177,-8.673617379884035e-19,1695473378199564,0
18b35f704a7d45199d08cbce4ca63d86,32.03462023783283,-6.846677337044033,0.9467708155689893,-1.734723475976807e-18,1695473378699228,0
18b35f704a7d45199d08cbce4ca63d86,29.65506063366994,-9.325676452593324,0.9064097439276158,0.0,1695473379198508,0
18b35f704a7d45199d08cbce4ca63d86,27.299214585265332,-11.013538689515656,0.9755859206204089,0.0,1695473379697824,0
18b35f704a7d45199d08cbce4ca63d86,25.01575156389857,-12.425958382505442,0.9341503512947767,0.0,1695473380197183,0
18b35f704a7d45199d08cbce4ca63d86,22.82046864281111,-12.867400859775424,0.9632830437626946,0.0,1695473380697693,0
