instance_token,x_rel,y_rel,speed,heading,timestamp,category_0,category_1
163b7c695f7243779ef5e5f0fd844063,571701.2157594472,5367870.003885938,0.0,0.0,1695473372698161,1,0
163b7c695f7243779ef5e5f0fd844063,571701.2495592021,5367869.939043226,1.4610436428607288e-07,-1.0902876392030136,1695473373198647,1,0
163b7c695f7243779ef5e5f0fd844063,571701.2532455809,5367869.854141489,1.700883037445298e-07,-1.5274042243363595,1695473373698280,1,0
163b7c695f7243779ef5e5f0fd844063,571701.2668880171,5367869.9066620795,1.0859478328343748e-07,1.316658659499073,1695473374197968,1,0
163b7c695f7243779ef5e5f0fd844063,571701.2045056748,5367869.895298283,1.2674815019027405e-07,-2.9614047342245406,1695473374698243,1,0
163b7c695f7243779ef5e5f0fd844063,571701.3086149142,5367869.872721316,2.1300243084736166e-07,-0.2135518007000174,1695473375198374,1,0
163b7c695f7243779ef5e5f0fd844063,571701.3337972751,5367869.93870392,1.4131365566809396e-07,1.2062069771412005,1695473375698147,1,0
163b7c695f7243779ef5e5f0fd844063,571701.3898588618,5367869.920319663,1.1804073731172413e-07,-0.3168793794157815,1695473376197966,1,0
163b7c695f7243779ef5e5f0fd844063,571701.413966223,5367869.903281878,5.90336139021076e-08,-0.6152392715849272,1695473376698026,1,0
163b7c695f7243779ef5e5f0fd844063,571701.3624722634,5367869.950215914,1.392322189349502e-07,2.4024888904291903,1695473377198440,1,0
163b7c695f7243779ef5e5f0fd844063,571701.3690660872,5367870.01824899,1.3654725384531967e-07,1.474177254459345,1695473377699013,1,0
163b7c695f7243779ef5e5f0fd844063,571701.3740736593,5367870.08807243,1.3985143467960718e-07,1.4992012698764396,1695473378199564,1,0
163b7c695f7243779ef5e5f0fd844063,571701.330045361,5367870.067576637,9.719550879500928e-08,-2.705912360519669,1695473378699228,1,0
163b7c695f7243779ef5e5f0fd844063,571701.1910698904,5367870.05712202,2.791382532671472e-07,-3.0665077320784118,1695473379198508,1,0
163b7c695f7243779ef5e5f0fd844063,571701.3763172487,5367870.096824608,3.794273792136878e-07,0.21112804339605992,1695473379697824,1,0
163b7c695f7243779ef5e5f0fd844063,571701.2751979296,5367870.125066052,2.102475922145045e-07,2.8692440164234077,1695473380197183,1,0
163b7c695f7243779ef5e5f0fd844063,571701.3193432337,5367870.080142388,1.2583899666128133e-07,-0.7941367863538169,1695473380697693,1,0
163b7c695f7243779ef5e5f0fd844063,571701.3881871748,5367870.143996947,1.8757978150213343e-07,0.7478164834663467,1695473381198271,1,0
163b7c695f7243779ef5e5f0fd844063,571701.4278551214,5367870.208459861,1.5128064451567582e-07,1.0191586542929847,1695473381698601,1,0
163b7c695f7243779ef5e5f0fd844063,571701.4041932343,5367870.182664402,6.997443471974843e-08,-2.3130815906252846,1695473382198843,1,0
163b7c695f7243779ef5e5f0fd844063,571701.4233142642,5367870.115664829,1.3946951911068205e-07,-1.2927962057502358,1695473382698412,1,0
163b7c695f7243779ef5e5f0fd844063,571701.3924496182,5367870.135503266,7.344570224901887e-08,2.5703267195449357,1695473383197971,1,0
163b7c695f7243779ef5e5f0fd844063,571701.4359683734,5367870.179467668,1.2380417360972227e-07,0.7904922037061126,1695473383697637,1,0
163b7c695f7243779ef5e5f0fd844063,571701.388713719,5367870.222582414,1.2802810278082434e-07,2.401973437817302,1695473384197276,1,0
